edgeR Analysis of Differential Expression Across Pseudotime,,,,,,
,logFC,logCPM,F,PValue,FDR,Cluster
MPND,0.019006514,8.156465874,175.3016948,3.57E-21,9.70E-21,5
SNRPD2,0.013714844,9.821689574,138.3854357,7.80E-32,2.43E-31,5
SNRNP25,0.030424511,8.273723585,356.7097301,6.40E-62,2.75E-61,5
TP53TG1,0.022794798,8.264499172,198.6923115,1.41E-32,4.42E-32,5
BOD1L1,0.027044086,8.262074037,279.6587567,5.22E-59,2.18E-58,5
RNF169,0.014659548,8.140866019,115.2618636,7.47E-14,1.81E-13,5
GRAMD4,0.02268747,8.129711678,301.2991363,9.67E-32,3.01E-31,5
MSL3,0.027423596,8.159106035,364.2430109,7.50E-44,2.69E-43,5
PCM1,0.031653418,8.260413484,398.5356439,1.55E-74,7.49E-74,5
MRPS17,0.035330893,8.259692854,507.6765469,1.32E-89,7.23E-89,5
TBL3,0.026880653,8.18007521,335.7264724,1.15E-48,4.34E-48,5
NME3,0.032017282,8.514430351,459.5529609,1.01E-100,6.07E-100,5
RNF113A,0.028604403,8.231348317,339.2480723,2.75E-58,1.14E-57,5
L1TD1,0.008951362,8.120175006,43.31904445,1.43E-06,2.96E-06,5
CDK5RAP2,0.020488293,8.117676824,279.7891884,3.47E-27,1.02E-26,5
MINCR,0.016291192,8.16840806,119.8827058,7.08E-17,1.81E-16,5
RPL35,0.013344742,12.44261041,145.9048142,1.82E-33,5.78E-33,5
RPL36,0.000580051,12.75965022,0.301059457,0.583225629,0.655946339,5
DEFA6,-0.041420387,8.111220641,1065.806443,9.06E-113,5.94E-112,5
ASCC3,0.024967092,8.200913543,263.9236815,1.03E-39,3.53E-39,5
KIF1C,0.034060723,8.273501992,454.3465977,4.26E-79,2.14E-78,5
ASH1L,0.036223986,8.357675924,516.7162098,7.72E-113,5.06E-112,5
PFDN5,0.026286519,10.13691667,536.4279534,5.23E-117,3.52E-116,5
UQCC3,0.035926118,8.63257821,609.7600931,1.76E-132,1.34E-131,5
TFDP2,0.034296537,8.287108464,470.4559605,2.94E-83,1.53E-82,5
HCFC1R1,0.025054795,8.32721556,232.0285433,4.15E-46,1.53E-45,5
CKAP5,0.030582289,8.151400994,474.1529987,2.09E-55,8.43E-55,5
GSTM3,0.027551066,8.141906668,387.9576491,1.95E-54,7.78E-54,5
DNAJC30,0.033073941,8.159765698,542.1186073,4.25E-66,1.90E-65,5
TTC37,0.033961087,8.214340624,481.1360382,1.04E-73,4.96E-73,5
MGME1,0.030636029,8.159370876,460.0826387,3.88E-57,1.59E-56,5
DHRS4,0.030397033,8.260474505,338.3719425,2.53E-58,1.05E-57,5
DHX29,0.043035055,8.260170544,774.4716323,7.10E-135,5.47E-134,5
NSA2,0.0294694,8.882571188,469.7430805,6.96E-103,4.25E-102,5
KDM7A,0.042513544,8.239090618,714.8281109,3.10E-117,2.09E-116,5
BOLA3,0.031471887,8.608086789,431.0024264,1.18E-94,6.75E-94,5
COX16,0.026920624,8.189591677,321.796451,6.87E-47,2.55E-46,5
SETD3,0.035985117,8.196736883,575.0976429,1.49E-79,7.53E-79,5
PPDPF,0.033928312,11.11457382,893.8320102,7.82E-192,8.91E-191,5
TSSC4,0.040363643,8.359080176,681.5525311,4.21E-131,3.16E-130,5
ING2,0.032533161,8.20459075,439.2932623,1.82E-64,8.00E-64,5
FBXL15,0.034939272,8.328976672,510.1277595,8.50E-100,5.06E-99,5
DDX50,0.037721675,8.202611936,625.9718274,8.42E-90,4.62E-89,5
BAG5,0.036883212,8.235443614,558.9429249,2.29E-92,1.28E-91,5
CHCHD5,0.031304549,8.559046259,447.8459802,3.11E-98,1.83E-97,5
