BEAM Analysis Results Table,,,,,,,
,status,family,pval,qval,gene_short_name,num_cells_expressed,use_for_ordering
AC007566.10,OK,negbinomial.size,1,1,AC007566.10,0,FALSE
AC007620.3,OK,negbinomial.size,1,1,AC007620.3,5,FALSE
AC007743.1,OK,negbinomial.size,1,1,AC007743.1,9,FALSE
AC007750.5,OK,negbinomial.size,1,1,AC007750.5,0,FALSE
AC007773.2,OK,negbinomial.size,0.999967181,1,AC007773.2,6,FALSE
AC007879.2,OK,negbinomial.size,1,1,AC007879.2,2,FALSE
AC007879.4,OK,negbinomial.size,1,1,AC007879.4,0,FALSE
AC007879.5,OK,negbinomial.size,1,1,AC007879.5,1,FALSE
AC007879.7,OK,negbinomial.size,1,1,AC007879.7,0,FALSE
AC007880.1,OK,negbinomial.size,1,1,AC007880.1,0,FALSE
AC007906.1,OK,negbinomial.size,1,1,AC007906.1,0,FALSE
AC007950.1,OK,negbinomial.size,1,1,AC007950.1,0,FALSE
AC007950.2,OK,negbinomial.size,0.811388806,1,AC007950.2,166,FALSE
AC007966.1,FAIL,negbinomial.size,1,1,AC007966.1,8,FALSE
AC008063.3,OK,negbinomial.size,1,1,AC008063.3,0,FALSE
AC008073.9,OK,negbinomial.size,1,1,AC008073.9,0,FALSE
AC008074.1,OK,negbinomial.size,1,1,AC008074.1,17,FALSE
AC008074.3,OK,negbinomial.size,0.900298105,1,AC008074.3,87,FALSE
AC008079.10,OK,negbinomial.size,0.99999978,1,AC008079.10,4,FALSE
AC008088.4,OK,negbinomial.size,1,1,AC008088.4,0,FALSE
AC008269.2,OK,negbinomial.size,1,1,AC008269.2,0,FALSE
AC008277.1,FAIL,negbinomial.size,1,1,AC008277.1,3,FALSE
AC008440.10,OK,negbinomial.size,1,1,AC008440.10,0,FALSE
AC008440.5,OK,negbinomial.size,1,1,AC008440.5,0,FALSE
AC008522.1,OK,negbinomial.size,0.920760833,1,AC008522.1,21,FALSE
AC008592.4,OK,negbinomial.size,1,1,AC008592.4,1,FALSE
AC008592.8,OK,negbinomial.size,1,1,AC008592.8,0,FALSE
AC008686.1,OK,negbinomial.size,1,1,AC008686.1,4,FALSE
AC008697.1,OK,negbinomial.size,1,1,AC008697.1,0,FALSE
AC008746.12,OK,negbinomial.size,1,1,AC008746.12,2,FALSE
AC008746.3,OK,negbinomial.size,1,1,AC008746.3,0,FALSE
AC008753.6,OK,negbinomial.size,1,1,AC008753.6,2,FALSE
AC008781.7,OK,negbinomial.size,1,1,AC008781.7,0,FALSE
AC008937.2,OK,negbinomial.size,1,1,AC008937.2,0,FALSE
AC008937.3,OK,negbinomial.size,0.658396013,1,AC008937.3,30,FALSE
AC009005.2,OK,negbinomial.size,0.999995387,1,AC009005.2,18,FALSE
AC009014.3,OK,negbinomial.size,0.997476347,1,AC009014.3,20,FALSE
